,work_ids,work_titles,authors,fandoms,iscrossover,ratings,warnings,genres,completions,dates,pairings,characters,freeforms,summaries,languages,wordcounts,chaptercounts,commentcounts,kudoscounts,bookmarks,hitcounts
5047,9946448,Darkmoon and Light.,vbollman,Harry Potter - J. K. Rowling,0,Mature,Underage,M/M,Complete Work,2012/04/13,Lucius Malfoy/Severus Snape,"George Weasley, Ginny Weasley, Harry Potter, Hermione Granger, Lucius Malfoy, Severus Snape, Draco Malfoy, Original Character, Voldemort","Out of Character, Sexual Content, Spoilers, Alternate Universe", ***REEDITED AND REPOSTED*** Severities Challenge. Harry is in trouble. Dumbles has been telling his family the things harry doesn't want them to know. It's up to Snape to accept his apologies and help. ,English,"40,465",11/11,5,48,11,"1,411"
5048,381755,Ashes of the Heart,Gelsey,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,F/M,Complete Work,2012/04/12,"Pansy Parkinson/Blaise Zabini, Draco Malfoy/Pansy Parkinson","Blaise Zabini, Pansy Parkinson",Sexual Content," Sometimes, no matter how happy something makes you, it just isn't meant to be. Loss and grief burn away the memory of that happiness and leave but ashes of the heart. ",English,750,1/1,1,16,3,554
5049,381749,Abduction,Gelsey,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/04/12,,"Severus Snape, Nymphadora Tonks",Mild Language," Some things piss Snape off more than others, but negligent mothers get him every time. ",English,"1,097",1/1,4,33,7,514
5050,381723,Harry Potter and the Veela Conundrum,joidianne4eva,Harry Potter - J. K. Rowling,0,Not Rated,"Choose Not To Use Archive Warnings, Underage",M/M,Complete Work,2012/04/12,Draco Malfoy/Harry Potter,,, This year was supposed to be an easy one until Draco Malfoy reared his evil head. Harry is not amused ,English,"2,630",1/1,5,204,14,"3,258"
5051,381534,Social Intercourse,DawnEB,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/04/12,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape",, Originally written for the GS100 'Elf-made Wine' challenge on LJ. Serial Drabble format 5x100 words. EWE.Severus explains the special properties of elf-made wine to Hermione ,English,500,1/1,0,49,3,"1,054"
5052,381523,Use Your Ears,orphan_account,Harry Potter - J. K. Rowling,0,Not Rated,No Archive Warnings Apply,M/M,Complete Work,2012/04/12,Harry Potter/Severus Snape,"Severus Snape, Harry Potter, Ron Weasley","Pre-Slash, Dialogue-Only, Humor, Alternate Universe - Post-War, Snape is alive!"," Ron thinks Snape and Harry are a couple. We-eell, Ron, it's a tad bit something like that... ",English,"1,434",1/1,0,77,6,"1,507"
5053,17986085,Shopping with the Dursleys,Glass Wolf (tlanon),Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,2012/04/12,,"Dudley Dursley's Children, Dudley Dursley's Wife, Harry Potter, OC kids",Dudley Dursley Has a Magical Child, Harry joins Dudley's wife and daughter for a shopping trip. ,English,"3,953",2/2,0,42,4,"1,583"
5054,4902346,The Way Down,lettered,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/04/12,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Charlie Weasley, Pansy Parkinson, Gregory Goyle","nervous breakdown, Social Anxiety, hermit Harry, Powerful Harry"," Harry is overwhelmed by his own power and fame and angst, so he's become a hermit. Draco Malfoy is tired of the melodrama. ",English,"65,615",9/9,455,"7,354","2,102","146,091"
5055,1154740,Words Unspoken,torino10154,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/04/12,Harry Potter/Severus Snape,"Severus Snape, Harry Potter","Anal Sex, Ficlet, Slash, Romance",-,English,336,1/1,0,55,4,820
5056,381831,Finding A Way,marksmom,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/04/12,Harry Potter/Charlie Weasley,"Harry Potter, Charlie Weasley, Severus Snape, Bill Weasley","Mpreg, Angst, Fluff, Mild Language, Slash", How much can go wrong when Harry finds out that wizards can become pregnant? ,English,"11,687",1/1,14,962,191,"20,026"
5057,381807,The Third Billy Goat,Bonfoi,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,"F/M, M/M",Complete Work,2012/04/12,"Severus Snape/Other, Severus Snape/Remus Lupin, Lucius Malfoy/Narcissa Malfoy","Severus Snape, Narcissa Malfoy, Draco Malfoy, Regulus Black, Lucius Malfoy, George Weasley, Madam Hooch, Hermione Granger, Remus Lupin, Teddy Lupin","HP: EWE, Humor, Romance, Community: severus_sighs, Anti-Valentine Challenge"," Severus gets to choose—or be chosen—under the watchful eyes of the Malfoys. Oh, happy day. ",English,"4,027",1/1,2,54,1,"1,226"
