,work_ids,work_titles,authors,fandoms,iscrossover,ratings,warnings,genres,completions,dates,pairings,characters,freeforms,summaries,languages,wordcounts,chaptercounts,commentcounts,kudoscounts,bookmarks,hitcounts
1816,487990,Prisoner Number 49077,TakesInLight,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/08/16,Hermione Granger/Ron Weasley,"Hermione Granger, Ron Weasley, Harry Potter, Ginny Weasley, Hugo Weasley, Rose Weasley","Family, Divorce, Alternate Universe - Post-War, Prison, One Shot"," Hermione Granger - thirty-six years old and the Auror partner of Harry Potter. When a delicate and personal case is assigned to them, it is difficult for both Aurors. The Objective: Capture Ginny Weasley, who has gone crazy after her divorce. How? The two have to ask the person they want to see the least in order to catch her - Ronald Weasley. Hermione's ex-husband and a prisoner of Azkaban. ",English,"2,354",1/1,2,17,1,"1,543"
1817,488088,Never Friends,bearshorty,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,"F/M, M/M",Complete Work,2012/08/16,"Lily Evans/James Potter, Lily Evans/Severus Snape, Sirius Black/Remus Lupin, Remus Lupin/Nymphadora Tonks","Remus Lupin, Severus Snape",," When Remus is injured, it is up to Snape to help whether he wants to or not. In the process, they talk of the past, air grievances and perhaps offer each other a tiny bit of friendship. ",English,"5,075",1/1,3,18,3,722
1818,488048,Misunderstandings,snowbaby921,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Theodore Nott/Harry Potter,"Theodore Nott, Harry Potter, Draco Malfoy, Hermione Granger",Mpreg, Theo sees and hears something he just doesn't understand. ,English,"1,876",1/1,2,429,51,"11,359"
1819,488045,Mine,snowbaby921,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Draco Malfoy/Adrian Pucey,"Draco Malfoy, Adrian Pucey","Slash, Public Sex", Draco longs for one of his friends and finally makes a move. ,English,775,1/1,0,20,1,888
1820,488038,My Bestfriends Lover,snowbaby921,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,"Harry Potter & Blaise Zabini, Theodore Nott/Harry Potter","Harry Potter, Theodore Nott, Blaise Zabini","Slash, Cheating, Swearing, Male Homosexuality, Male Slash, Gay Male Character"," Blaise falls in love the last year of school, only to find out this person is with his bestfriend, Theo. ",English,"1,807",1/1,5,102,9,"4,295"
1821,488030,Anima Legata,snowbaby921,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,"Lucius Malfoy/Harry Potter, Draco Malfoy/Ron Weasley, Hermione Granger/Blaise Zabini, Marcus Flint/Harry Potter","Lucius Malfoy, Harry Potter, Marcus Flint, Hermione Granger, Draco Malfoy, Blaise Zabini, Ron Weasley, Severus Snape","Mpreg, Age Difference, Slash, Het and Slash"," Lucius Malfoy was extremely happy that the war was finally over, his manipulative wife was dead and the mark was fading, however his soul was not complete. ",English,"10,715",8/8,13,"1,574",286,"46,153"
1822,488019,A new life,snowbaby921,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,"Harry Potter/Original Male Character, Draco Malfoy/Harry Potter",,"Non Consensual, Child Abuse, Abuse, Slash", Harry is abused by his relatives at a young age and gets rescued by something he never thought existed. ,English,"18,525",12/12,1,139,13,"8,052"
1823,487958,Desires Stolen By Silent Night,HPFangirl71,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,"Albus Severus Potter/James Sirius Potter, Scorpius Malfoy/Albus Severus Potter","Albus Severus Potter, James Sirius Potter, Scorpius Malfoy","Sibling Incest, Rape, Non Consensual, First Time, Rimming, Rope Bondage, Unrequited Love, Delusions, Stalking, Unhappy Ending, Spells & Enchantments", James loves his brother… and your first time should always be with someone who loves you right? ,English,"2,341",1/1,17,93,14,"6,607"
1824,487938,Daddy's Sweet Little Girl,HPFangirl71,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,2012/08/16,"Harry Potter/Lily Luna Potter, Scorpius Malfoy/Lily Luna Potter, Scorpius Malfoy/Lorcan Scamander/Lysander Scamander","Harry Potter, Lily Luna Potter, Scorpius Malfoy","Parent/Child Incest, Cross-Generation Relationship, Implied Sexual Content, Shame, Guilt, Mildly Dubious Consent"," Harry's never said no to his sweet little girl, so why start now? ",English,"1,247",1/1,2,199,22,"43,137"
1825,487914,Silencio,AkashaTheKitty,Harry Potter - J. K. Rowling,0,Explicit,Underage,F/M,Complete Work,2012/08/16,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy, others - Character","Explicit Sexual Content, Angst, Romance, Humor, Memory Alteration, Dubious Consent, Secret Relationship"," One late night, hate turns to lust.Beta by MissNibbles and MazVN. ",English,"87,007",15/15,377,"4,236","1,431","313,235"
1826,488044,Impossible Magic,Alassea Riddle (AlRiddle),Harry Potter - J. K. Rowling,0,General Audiences,"No Archive Warnings Apply, Choose Not To Use Archive Warnings",F/M,Complete Work,2012/08/16,Hermione Granger/Tom Riddle,"Hermione Granger, Tom Riddle",, Hermione is determinate to prove herself. Written for the Reverse Time Turner Challenge at the Tomione Convention ,English,"2,092",1/1,2,67,3,"2,610"
1827,487629,Package Deal,JayColin,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Harry Potter/Bill Weasley/Charlie Weasley,"Harry Potter, Bill Weasley, Charlie Weasley","Alternate Universe, Threesome", Bill and Charlie made a vow years ago that has resulted in them having to date the same person in order to be truly happy. The question is can Harry Potter handle a package deal? ,English,"1,510",1/1,6,380,71,"9,215"
1828,487619,Prefect's Bathroom,JayColin,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Cedric Diggory/Harry Potter,"Cedric Diggory, Harry Potter, Charlie Weasley, Poppy Pomfrey",Alternate Universe," Charlie senses that Harry and Cedric have more than friendly feelings for one another, so, following the first task of the Triwizard Tournament, he gives them something to help them relax after their encounters with their dragons. With their inhibitions lowered, Charlie beats a hasty retreat so the two boys can have some private bonding time. ",English,"1,509",1/1,2,323,49,"6,156"
1829,487612,Celebrations,JayColin,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Cedric Diggory/Harry Potter,"Cedric Diggory, Harry Potter, Neville Longbottom, Hermione Granger, Draco Malfoy, Adrian Pucey, Minerva McGonagall, Sirius Black, Remus Lupin, Ginny Weasley","Alternate Universe, Language"," Cedric survived the graveyard and began dating Harry shortly thereafter. It is now 12 years later, Voldemort is dead, Harry and Cedric are happily married, teaching at Hogwarts and all is right with the world. Join them as they celebrate Cedric's 29th birthday. ",English,"12,063",1/1,9,367,74,"9,668"
1830,487552,Unusual Relations,JayColin,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,"Firenze/Harry Potter, Bill Weasley/Charlie Weasley/Original Male Character","Harry Potter, Firenze, Bill Weasley, Charlie Weasley, Ron Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Percy Weasley, Hermione Granger, Original Characters","Alternate Universe, Original Character(s), Threesome - M/M/M"," Harry finally manages the Animagus transformation, but the form he takes isn't what he expected, although that's not necessarily a bad thing. ",English,"2,838",1/1,9,521,76,"18,852"
1831,487538,Sweet Revenge,JayColin,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Cormac McLaggen/Harry Potter,"Cormac McLaggen, Harry Potter, Teddy Lupin, Fred Weasley, George Weasley, Dobby",," Sequel to Stuck on You. Ten years after the unfortunate superglue incident, Harry and Cormac get their revenge on a certain Teddy Lupin. ",English,"1,215",1/1,1,112,13,"2,420"
1832,487529,The Many Adventures of Bunny and Hedge,WereBunny87,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,"F/F, M/M",Complete Work,2012/08/16,Its different for each blurb,It's different for each blurb,," This is just a series of little blurbs my friend yamiyugi23 and I put together, featuring our characters Bunny and Hedge as they adventure through various fandoms...and crossovers...and cause general mayhem and madness xDI hope you like it... ",English,"3,778",4/4,5,5,1,491
1833,487527,Stuck on You,JayColin,Harry Potter - J. K. Rowling,0,Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Cormac McLaggen/Harry Potter,"Cormac McLaggen, Harry Potter",, Harry and Cormac have an unfortunate encounter with superglue compliments of one Teddy Lupin. ,English,507,1/1,0,130,17,"3,294"
1834,487515,Regrets,JayColin,Harry Potter - J. K. Rowling,0,Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Harry Potter/Bill Weasley,"Harry Potter, Bill Weasley",," Harry tells Bill about something which the older man is sure he's going to regret, but in trying to talk him out of it, events take a turn that Bill never saw coming and can't say he regrets. ",English,"1,505",1/1,5,348,48,"10,301"
1835,487490,An Army Of One,smoss,"Harry Potter - J. K. Rowling, Star Wars Prequel Trilogy, Star Wars Episode III: Revenge of the Sith",1,Mature,Choose Not To Use Archive Warnings,"F/M, Gen",Work in Progress,2012/08/16,Harry Potter/Padmé Amidala,"Harry Potter, Padmé Amidala, Anakin Skywalker, Bail Organa, Dooku, Palpatine, Obi-Wan Kenobi, Yoda, Mace Windu","Crossover, Crossover Pairings, Alternate Universe - Star Wars Setting, Drama & Romance, Military", He was just looking for a place to hide from everything; however Harry Potter finds himself in another galaxy and his adventure is just starting. ,English,"27,759",7/?,13,242,82,"12,440"
1836,487874,Helping,JayColin,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/16,Charlie Weasley/Draco Malfoy/Harry Potter,"Charlie Weasley, Draco Malfoy, Harry Potter",Threesome," Charlie helps Draco overcome his emotional distress and they fall in love. Later, their relationship grows, as they help Harry overcome his distress. ",English,"1,508",1/1,3,94,17,"2,123"
1837,487844,Silent Sincerity,Twelvefootmountaintroll,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/08/16,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","One Shot, Romance, Prose Poem, HP: EWE", Written for the HD Project on tumblr for the prompt light. A series of snapshots across Harry and Draco's lives. ,English,"2,107",1/1,2,29,2,461
1838,487838,Integrity and Compromise,Twelvefootmountaintroll,Harry Potter - J. K. Rowling,0,Mature,"Graphic Depictions Of Violence, Major Character Death",Gen,Complete Work,2012/08/16,,"Harry Potter, Draco Malfoy","Angst, One Shot, Dark, HP: EWE", What are the consequences when Harry doesn't save Draco from the Fiendfyre in the Room of Requirement? ,English,"2,635",1/1,1,9,0,261
1839,487830,Green Apple Intrigue,Twelvefootmountaintroll,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/08/16,"Draco Malfoy/Harry Potter, Draco Malfoy/Apple","Draco Malfoy, Harry Potter","PWP, Established Relationship, Smut, Fluff", Draco decides to enjoy a tasty green apple. Harry wants a taste. ,English,"1,240",1/1,0,134,8,"2,838"
1840,487833,A Taste of Sectumsempra,Twelvefootmountaintroll,Harry Potter - J. K. Rowling,0,Explicit,"Rape/Non-Con, Underage",M/M,Complete Work,2012/08/16,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","PWP, Smut, Dubious Consent, S&M"," Harry tries to curse Malfoy; instead, he gets a taste of his own magic. A re-imagining of the bathroom duel in HBP. ",English,"1,058",1/1,3,283,9,"9,330"
1841,487818,Ten Years Late,Twelvefootmountaintroll,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/08/16,"Draco Malfoy/Blaise Zabini, Draco Malfoy/Harry Potter/Blaise Zabini, Harry Potter/Blaise Zabini","Draco Malfoy, Blaise Zabini, Harry Potter","PWP, Smut, Threesome - M/M/M, HP: EWE"," At their ten year school reunion, Draco and Blaise decide to address the fact that they've never hooked up. Harry joins in. ",English,"4,525",1/1,2,281,18,"10,240"
1842,487827,When Push Comes to Shove,Twelvefootmountaintroll,Harry Potter - J. K. Rowling,0,Explicit,Underage,M/M,Complete Work,2012/08/16,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Dubious Consent, Angry Sex, PWP, One Shot, Smut", ANGRY ANGRY TRAINSEX. Draco and Harry try to resolve some of their feelings on the train to Hogwarts. ,English,"2,184",1/1,0,235,15,"6,439"
1843,487587,Freedom,tambrathegreat,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Graphic Depictions Of Violence,Gen,Complete Work,2012/08/16,Lucius Malfoy/Narcissa Malfoy,"Lucius Malfoy, Original Female Character",, An act of desperation leads to insight for Lucius Malfoy.Any recognisable characters are the property of JK Rowling. I retain all rights to original characters. I make no money from this story. ,English,"3,014",1/1,3,8,1,567
1844,487432,The Art of Being a Malfoy,ImmortalBeloved,Harry Potter - J. K. Rowling,0,Explicit,Rape/Non-Con,M/M,Complete Work,2012/08/15,Draco Malfoy/Lucius Malfoy/Harry Potter,"Draco Malfoy, Lucius Malfoy, Harry Potter","Sexual Slavery, Incest, Explicit Sexual Content, Sexual Coercion, Oral Sex, Anal Sex, Emotional Manipulation, Threesome - M/M/M"," The light has lost the war and Harry is given to Lucius Malfoy as a pet. Lucius sets out to teach Harry what it means to be a part of the Malfoy household. Slave-fic! NC-17, SLASH, HP/LM/DM. ",English,"3,479",1/1,5,504,66,"29,674"
1845,487421,Betrayal,ducttapeofdoom,"Naruto, Harry Potter - J. K. Rowling",1,Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/15,Hyuuga Hizashi/James Potter,"Hyuuga Hizashi, Hyuuga Hiashi",part of a larger universe, Entry in the y-gallery.net club Dad's Gone Wild contest: Betrayal ,English,474,1/1,1,18,0,520
1846,487420,One Happy Memory,shinysparks,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,Sirius Black/Remus Lupin,"Sirius Black, Remus Lupin","POV Second Person, Crack", Sirius tells Remus about one of his happiest memories. Werewolf embarrassment Hilarity ensues. ,English,"1,158",1/1,4,15,1,587
1847,487407,The Cider Press,sassy_cissa,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,Draco Malfoy/Harry Potter,Narcissa Malfoy,, Sometimes Mother really does know best ,English,"9,472",1/1,12,374,62,"4,285"
1848,487401,Snow Angels,sassy_cissa,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",M/M,Complete Work,2012/08/15,Draco Malfoy/Harry Potter,,"mentions of children, Mpreg", A series of 100 word drabbles that tell a tale of winter life in the Malfoy-Potter home. ,English,"1,003",1/1,3,169,14,"2,462"
1849,487398,It's the End of the World as We Know It (And I Feel Fine),sassy_cissa,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Hermione Granger, Demelza Robins, Ron Weasley",, A heated game of Quidditch reaches it's boiling point in the changing rooms. ,English,"2,598",1/1,4,269,30,"3,866"
1850,487386,When Things Are Different,sassy_cissa,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,"Draco Malfoy/Original Male Character, Draco Malfoy/Harry Potter","Draco Malfoy, Harry Potter, Pansy Parkinson","Abusive Relationship, discussions and descriptions of domestic violence and abuse"," Have you ever awakened one morning and looked at your life, and wondered how the fuck you'd got there? ",English,"10,312",1/1,10,563,98,"10,615"
1851,487382,The Water View,Vaysh,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,Harry/Draco,"Draco Malfoy, Harry Potter, Ron Weasley, Dedalus Diggle, Original Characters","Pre-Slash, HP: EWE, free hugs, Podfic Available, Draco Malfoy is giving out free hugs, light injury, broom crashes"," Junior Auror Harry had it with Malfoy's silly cases being dumped on him. But when the git finally stops crashing with his broom, he appears in the middle of Diagon Alley. ",English,"9,165",1/1,15,113,13,"1,648"
1852,487381,Tell Me No Secrets and I'll Tell You No Lies,sassy_cissa,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,"Draco Malfoy/Harry Potter, Hermione Granger/Blaise Zabini, Neville Longbottom/Ginny Weasley, Pansy Parkinson/Ron Weasley","Lily Evans, James Potter, Lucius Malfoy, Narcissa Malfoy, Sirius Black",, Harry thought it was a simple enough request. Who knew it would cause such drama? ,English,"5,753",1/1,10,519,76,"7,323"
1853,487311,The Artist As A Young Man,lembas7,"Bridge to Terabithia - Katherine Paterson, Harry Potter - J. K. Rowling",1,General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,2012/08/15,,"Jesse Oliver Aarons, May Belle Aarons, Jesse Aarons Sr., Brenda Aarons, Ellie Aarons, Joyce Ann Aarons, Willard Hughs, Original Characters",Alternate Universe, It was up to him to pay back to the world in beauty and caring what Leslie had loaned him in vision and strength. ,English,"13,314",2/2,6,58,10,"1,177"
1854,487253,Starlight,Brief_and_Dreamy,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,Choose Not To Use Archive Warnings,"Multi, M/M",Complete Work,2012/08/15,Scorpius Malfoy/James Sirius Potter,"Scorpius Malfoy, James Sirius Potter, Albus Severus Potter","Angst, Grief/Mourning, Character Death"," In the night of death, hope sees a star, and listening love can hear the rustle of a wing. ~Robert Ingersoll ",English,"12,073",1/1,18,135,32,"2,431"
1855,487243,Dirty Laundry,LucyS Malfoy (Willibald),Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/M,Complete Work,2012/08/15,Hermione Granger/Severus Snape,"Severus Snape, Hermione Granger",Drabble,-,English,100,1/1,0,28,1,"1,431"
1856,487096,Nicked Names,Ember Nickel (primeideal),Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/08/15,,"Molly Weasley II, Lucy Weasley, Fred Weasley II, Victoire Weasley, Dominique Weasley, Louis Weasley, James Sirius Potter, Albus Severus Potter, Lily Luna Potter, Rose Weasley, Hugo Weasley, Roxanne Weasley, Teddy Lupin, Scorpius Malfoy, Original Characters",Harry Potter Next Generation, Granddad Weasley would never forgive you if you married a pureblood. ,English,"3,304",1/1,4,97,19,"2,440"
1857,487079,She Never Stops Talking,michmak,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/M,Complete Work,2012/08/15,Hermione Granger/Severus Snape,"Severus Snape, Hermione Granger",," She never stops talking, which is something Snape comes to appreciate. ",English,"2,060",1/1,9,254,33,"4,139"
1858,1154193,"If You Can't Stand the Heat, Get Out of the Kitchen",torino10154,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,Harry Potter/Severus Snape,"Severus Snape, Harry Potter","Kitchen Sex, Oral Sex, Spanking, Corporal Punishment, Humor, unusual lube, Slash, Anal Sex",-,English,664,1/1,8,152,16,"5,766"
1859,487104,To Be Home,Dark Rose (DarkRose33),Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/08/15,Draco Malfoy/Ginny Weasley,"Draco Malfoy, Ginny Weasley","Post-Hogwarts, HP: EWE, Drama, Romance"," After years of exile, Draco Malfoy is back in the country where he was born. But he needs a little extra help to make peace with his past. ",English,"3,950",5/5,0,28,1,871
1860,487099,Heartbeat,Dark Rose (DarkRose33),Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/08/15,Hermione Granger/Draco Malfoy,"Draco Malfoy, Hermione Granger, Lucius Malfoy","Unresolved Sexual Tension, Minor Violence, Post-Hogwarts, Not Canon Compliant, Romance, Drama"," In the midst of war and battle, two people who thought they would never meet again come face to face, and the past floods back in a heartbeat. ",English,"2,881",1/1,0,33,5,"1,467"
1861,487081,As a Memory,abrae,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/08/15,Harry Potter/Severus Snape,,"Angst, Hurt/Comfort, Pre-Slash", A recovering Snape ventures outside in the summer after the war. Written for the 2012 Summer of Snarry challenge. ,English,"1,828",1/1,6,135,20,"1,562"
1862,486772,Caesura,shadowen,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Gen,Complete Work,2012/08/15,,"George Weasley, Fred Weasley, Minerva McGonagall, Alastor “Mad-Eye” Moody","Twins, Canonical Character Death, Post - Deathly Hallows, Not A Fix-It", A twins-centric sequence of drabbles. ,English,"1,382",1/1,3,27,5,470
1863,486627,In Which Clint Barton and Phil Coulson are Not Killed by a Troll,madness_and_smiles,"The Avengers - All Fandoms, Harry Potter - J. K. Rowling",1,General Audiences,Choose Not To Use Archive Warnings,"F/M, M/M",Complete Work,2012/08/14,"Clint Barton/Phil Coulson, implied Bucky/Natasha","Phil Coulson, Clint Barton, Natasha Romanov, Pepper Potts, Logan (X-Men), Bobby Drake, Flash Thompson, Peter Parker",," Phil Coulson doesn’t like to do his homework in the Hufflepuff common room. He prefers the library, with its enforced quiet and easily accessible volumes. He has a little spot picked out for him; a small desk in the corner next to a large overstuffed armchair where he tends to keep his pile of books. Which is why, when he walks into the library and sees Clint Barton sitting in the over-stuffed armchair that is supposed to hold Phil’s books, he’s more than a little put off. This isn’t where their story begins though. What happened was this: ",English,"5,493",1/1,7,262,34,"4,450"
1864,486592,Let it snow...,NikaAnuk,Harry Potter - J. K. Rowling,0,Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,2012/08/14,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy, Pansy Parkinson","Christmas, Fluff, cocoa", so... this is probably not the best thing you've ever read but I'm proud of it. thanks to my beta it's in English now (was writen in polish). what can I say?it's another short (much longer this time!) this time about Draco and Harry and Christmas. I know it's not a good time but... well. fluff is a fluff. enjoy! ,English,"1,182",1/1,0,15,1,298
1865,449974,Flickering Flames,AkashaTheKitty,Harry Potter - J. K. Rowling,0,Explicit,No Archive Warnings Apply,F/M,Complete Work,2012/08/14,"Hermione Granger/Draco Malfoy, Hermione Granger/Harry Potter, Draco Malfoy/Other(s)","Draco Malfoy, Hermione Granger, Harry Potter","Infidelity, Explicit Sexual Content"," Hermione finds herself caught between blazing hot flames, and the subtle warmth of long-burning embers. Afraid of being burned, she turns to the comfort and consistency of the embers, but you should never turn your back on a roaring fire... Bingo Prize fic!Betas: namelessamelie and MazVN. Britpicks: filigree1 and RZZMG (on chapter 1-2).Lovely artwork by xfsista      ",English,"27,517",8/8,77,852,137,"28,855"
1866,486283,Fudge Delight,bookfreak1317,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,Other,Complete Work,2012/08/14,,"Dolores Umbridge, Harry Potter, Hermione Granger, Ron Weasley, Cornelius Fudge","Implied Character Death, Out of Character, Crack Treated Seriously, crack!fic"," The Golden Trio is eating Fudge, and Umbridge completely overreacts. No one ever said she was smart... ",English,796,1/1,2,108,13,"1,369"
1867,486036,Obviously,CaptainMartello,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,M/M,Work in Progress,2012/08/14,Sirius Black/Remus Lupin,"Peter Pettigrew, James Potter, Remus Lupin, Sirius Black","wolfstar, Marauders' Era, Misunderstandings"," Remus Lupin has a secret. He's acting strangely, showering separately and disappearing regularly. Sirius is fairly sure he knows what's going on.There is only one possible conclusion. Our sneaky little bookworm of a roommate, is obviously a girl.”All that's left is to prove his theory. Operation Remus' Secret is a go! ",English,"1,505",1/3,5,146,4,"3,971"
1868,486229,Moment Gone Wrong,bookfreak1317,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,M/M,Complete Work,2012/08/14,,"Harry Potter, Voldemort, Original Characters","Swearing, crack!fic, Crack Treated Seriously"," You know that scene in part 2 of the Deathly Hallows where it looked like Harry and Voldemort would kiss? Well, what if they did... Crack!ficOriginally posted on FFn ",English,632,1/1,8,65,12,633
1869,1358218,City Life (Desires and Fears Mix),Woldy,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,F/F,Complete Work,2012/08/14,Ginny/Tonks,"Ginny Weasley, Nymphadora Tonks","Remix, Travel, POV Female Character, Drabble Sequence"," Two women, five cities, and a home. ",English,630,1/1,0,37,5,507
1870,486843,The Answer Was Love,azure_rosa,Harry Potter - J. K. Rowling,0,Teen And Up Audiences,No Archive Warnings Apply,"F/M, M/M",Complete Work,2012/08/14,"Remus Lupin/Severus Snape, Hermione Granger/Harry Potter","Remus Lupin, Severus Snape, Harry Potter, Hermione Granger, Minerva McGonagall","Pre-Slash, Slash, Courtship"," This isn’t magic — it’s logic — a puzzle. A lot of the greatest wizards haven’t got an ounce of logic; they’d be stuck in here forever. What if Remus, who has being trying and failing to befriend Severus for several years, learned of Severus’ affinity for logic puzzles? What if after befriending him, he fell in love and decided that maybe the only way to Severus’ heart was through his brain? ",English,"20,348",17/17,5,152,21,"4,152"
1871,486483,The Best Possible Outcome,crossingwinter,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,F/M,Complete Work,2012/08/14,"Lily Evans/James Potter, Lily Evans/Severus Snape","Lily Evans, James Potter, Severus Snape, Harry Potter",some might say AU," When it comes to weighing choices, sometimes you can't know the best possible outcome. But Lily Evans can, sometimes. ",English,"1,142",1/1,6,62,12,"1,684"
1872,486002,Fragility,EliraWinter,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,M/M,Complete Work,2012/08/14,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter","Dom/sub, Subspace", Harry in subspace. ,English,283,1/1,10,669,62,"16,877"
1873,483218,Look at What a Mess We've Made,nessismore,Harry Potter - J. K. Rowling,0,General Audiences,No Archive Warnings Apply,F/M,Work in Progress,2012/08/14,Scorpius Malfoy/Lily Luna Potter,"Lily Luna Potter, Scorpius Malfoy, Rose Weasley, Albus Severus Potter, Harry Potter",Ficlet Collection, A collection of ficlets revolving around Lily Luna and Scorpius. ,English,"1,255",3/?,0,47,6,"1,574"
1874,485831,Mnemosyne in Chains,celestineangel,Harry Potter - J.K. Rowling,0,Mature,"Rape/Non-Con, Underage",Multi,Complete Work,2012/08/14,,"Teddy Lupin, Albus Severus Potter, Lily Luna Potter, James Sirius Potter","dark!fic, fest: nextgendarkfest", Teddy Lupin loves to babysit. ,English,"5,060",1/1,11,42,3,"2,716"
1875,485762,Naughty Girl,deirdre_aithne,Harry Potter - J. K. Rowling,0,Mature,No Archive Warnings Apply,F/F,Complete Work,2012/08/14,Astoria Greengrass/Pansy Parkinson,"Pansy Parkinson, Astoria Greengrass","Anal Play, Anal Plug, Paddling"," And are you ready for your punishment? Yes, Mistress... ",English,589,1/1,1,47,1,"6,341"
